Gender,Ageyears,Handed,Height_cm,Footlength_cm,Armspan_cm,Languages_spoken,Travel_to_School,Travel_time_to_School,Reaction_time,Score_in_memory_game,Favourite_physical_activity,Importance_reducing_pollution,Importance_recycling_rubbish,Importance_conserving_water,Importance_saving_energy,Importance_owning_computer,Importance_Internet_access,Left_Footlength_cm,Longer_foot,Index_Fingerlength_mm,Ring_Fingerlength_mm,Longer_Finger_Lefthand,Birth_month,Favorite_Season,Allergies,Vegetarian,Favorite_Food,Beverage,Favorite_School_Subject,Sleep_Hours_Schoolnight,Sleep_Hours_Non_Schoolnight,Home_Occupants,Home_Internet_Access,Communication_With_Friends,Text_Messages_Sent_Yesterday,Text_Messages_Received_Yesterday,Hanging_Out_With_Friends_Hours,Talking_On_Phone_Hours,Doing_Homework_Hours,Doing_Things_With_Family_Hours,Outdoor_Activities_Hours,Video_Games_Hours,Social_Websites_Hours,Texting_Messaging_Hours,Computer_Use_Hours,Watching_TV_Hours,Paid_Work_Hours,Work_At_Home_Hours,Schoolwork_Pressure,Planned_Education_Level,Favorite_Music,Superpower,Preferred_Status,Role_Model_Type,Charity_Donation
Female,17,Right-Handed,154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Female,17,Right-Handed,169,23,69,2,Car,6,0.328,35,Other,1000,567,930,770,278,620,23,Same length,7,1.5,Ring finger,September,Summer,Yes,Yes,Vegetables,Water,History,7,9,5,Yes - broadband connection,In person,20,40,8,0.25,6,8,13,2,6,6,4,4,0,2,A lot,Graduate degree,Reggae,Telepathy,Rich,Relative,"Wildlife, animals"
Female,17,Right-Handed,154,21.5,157,2,Car,5,0.463,38,Dancing,765,738,829,830,840,900,23,Left foot,70,75,Ring finger,January,Summer,No,No,Pizza/Pasta,Tea,History,7,8,5,Yes - broadband connection,Text messaging,2,3,2,0.5,4,2,9,0,4,0.5,6,3,0,1,Very little,Undergraduate degree,Country,Telepathy,Rich,Relative,"Wildlife, animals"
Female,16,Right-Handed,171,23,157,2,Car,8,0.304,36,Walking/Hiking,1000,1000,1000,1000,1000,1000,23,Same length,90,100,Ring finger,December,Winter,Yes,No,Rice/Noodle dishes,Water,Other,7,9,4,Yes - other,Text messaging,150,150,10,15,8,20,5,4,9,2,8,5,0,1,Some,Graduate degree,Rap/Hip hop,Fly,Happy,Relative,Environment
Female,16,Right-Handed,167,23,69,2,Car,7,0.477,55,Lacrosse,540,412,139,182,308,1000,23,Same length,6.5,5.5,Index finger,December,Winter,Yes,No,Seafood,Water,Other,6,9,4,Yes - other,Text messaging,20,30,30,21,20,12,6,0,12,8,20,0,15,3,A lot,Graduate degree,Rap/Hip hop,Telepathy,Famous,Other,Education/Youth development
Female,17,Right-Handed,163,23,161.5,1,Car,10,0.353,45,Swimming,904,610,626,882,690,930,23,Same length,95,80,Ring finger,May,Spring,No,No,Seafood,Water,History,7,9,3,Yes - other,Text messaging,150,20,4,1,8,5,6,2,10,5,10,7,0,4,A lot,Graduate degree,Rhythm and blues (R&B),Telepathy,Rich,Business person,International aid
Female,16,Right-Handed,162,23,158,1,Car,5,0.287,37,Other,818,695,797,481,332,428,23,Same length,90,80,Index finger,January,Spring,No,No,Seafood,Water,Art,9,7,3,Yes - broadband connection,Text messaging,150,145,8,5,4,8,4,2,4,6,3,2,0,1,Some,Graduate degree,Pop,Telepathy,Rich,Musician or singer,Health
Female,15,Right-Handed,166,125,164,3,Car,10,0.38,31,Skateboarding/Rollerblading,950,650,700,750,550,600,124.5,Right foot,90,100,Ring finger,November,Spring,Yes,No,Pizza/Pasta,Water,Social studies,5,9,2,Yes - broadband connection,Text messaging,50,50,14,7,20,7,20,2,7,10,20,2,3,7,A lot,Undergraduate degree,Pop,Fly,Happy,Actor,Environment
Female,15,Right-Handed,172.5,25.5,157,1,Car,5,0.326,52,Hockey (Ice),834,674,749,369,214,620,25.5,Same length,65,75,Ring finger,November,Fall,No,No,Poultry,Water,Other,6,8,4,Yes - broadband connection,Text messaging,30,30,10,2,4,6,10,0,4,5,5,2,0,3,A lot,Graduate degree,Pop,Freeze time,Rich,Religious figure,Environment
Female,16,Right-Handed,61.3,8,63,1,Car,15,0.306,37,Tennis,754,684,743,540,433,668,8,Same length,90,85,Index finger,January,Winter,No,No,Rice/Noodle dishes,Water,Art,6,10,4,Yes - broadband connection,Text messaging,5,10,2,0,5,1,2,3,4,2,8,0,0,2,Some,Other,Pop,Freeze time,Happy,Other,Health
Female,16,Right-Handed,67,65,75,2,Car,14,0.29,43,Swimming,"1,000",791,"1,000",738,500,850,8,,95,80,Index finger,June,Summer,No,Yes,Desserts,Water,History,7,9,4,Yes - broadband connection,Text messaging,6,15,12,3,12,5,10,0,10,2,2,0,15,2,A lot,Graduate degree,Pop,Telepathy,Happy,Coach or club leader,"Wildlife, animals"
Male,16,Right-Handed,165,26,165,2,Car,10,0.329,68,Other,900,650,300,300,200,500,26,Right foot,90,95,Ring finger,July,Summer,Yes,No,No favorite,Water,Physical education,7,6,3,Yes - broadband connection,Text messaging,5,7,0,1,7,3,8,6,0,1,4,0,0,1,Some,Other,Other,Fly,Healthy,Other,Environment
Male,16,Right-Handed,172,24,186,2,Walk,5,0.314,50,Other,877,759,882,824,535,706,24,Same length,80,76,Index finger,February,Summer,Yes,No,Meat,Water,Social studies,6,8,4,Yes - broadband connection,Text messaging,34,152,14,16,24,4,5,8,4,4,6,2,0,6,Some,Graduate degree,Rap/Hip hop,Freeze time,Happy,Other,International aid
Male,16,Right-Handed,172.5,24,154,1,Car,5,0.356,52,Baseball/Softball,750,600,550,700,500,550,25,Left foot,87,59,Index finger,August,Summer,No,No,Meat,Water,History,8,6,4,Yes - other,Internet chat or instant messaging,15,13,5,1,8,5,12,5,1,1,5,3,0,2,Very little,Graduate degree,Rock and roll,Fly,Happy,Relative,Health
Female,17,Right-Handed,157,22,170,2,Car,45,0.56,65,None,802,802,513,513,396,797,22,Same length,85,91,Ring finger,December,Fall,Yes,No,Meat,Water,Art,8,10,6,Yes - broadband connection,Cell phone,40,35,18,1,4,10,2,0,7,5,7,0,0,0,Some,Less than high school,Pop,Freeze time,Happy,Doctor or nurse,Health
Female,16,Right-Handed,169,24,149,2,Car,5,0.316,35,Skateboarding/Rollerblading,610,963,850,422,540,1000,25,Left foot,8,7,Index finger,August,Winter,No,No,Meat,Tea,Art,7,7,4,Yes - other,Text messaging,81,89,16,4,1,2,0,0,3,3,9,0,0,2,Some,Graduate degree,Pop,Invisibility,Famous,Relative,Health
Male,16,Right-Handed,176,28,180,1,Car,7,0.419,38,Other,750,700,800,700,400,800,28,Same length,75,77,Ring finger,May,Winter,Yes,No,Meat,Water,Other,6,10,5,Yes - broadband connection,Text messaging,60,60,6,1,15,10,18,4,10,10,20,8,0,4,Some,Graduate degree,Rock and roll,Telepathy,Happy,Actor,Health
Female,17,Right-Handed,153,23,162,1,Car,8,0.37,49,Athletics,1000,412,674,701,332,711,23,Same length,85,90,Ring finger,June,Summer,No,No,Rice/Noodle dishes,Water,Science,6,9,4,Yes - broadband connection,In person,70,50,7,2,30,5,3,1,8,4,13,5,1,10,A lot,Graduate degree,Pop,Freeze time,Rich,Friend,"Wildlife, animals"
Female,16,Right-Handed,146.8,21.4,152,3,Car,14,0.545,63,None,1000,1000,1000,920,497,578,21.4,Same length,5.9,6.1,Ring finger,September,Winter,Yes,No,Pizza/Pasta,Water,Languages,5,7,3,Yes - broadband connection,"Myspace, Facebook, other social networking sites, or blog",28,27,8,0,3,2,1,0,3,3,9,1,0,0,Some,Graduate degree,Country,Fly,Healthy,Actor,Health
Female,16,Right-Handed,164,22,161,2,Car,15,0.343,27,Bowling,813,342,652,706,508,599,21.5,Right foot,89,91,Ring finger,October,Winter,No,No,Desserts,Milk,Computers and technology,6,9,4,Yes - broadband connection,In person,3,4,4,0.05,3,5,0,24,20,3,28,0,0,1,Very little,Graduate degree,Pop,Fly,Happy,Religious figure,International aid
Female,17,Right-Handed,160,25,162,1,Walk,30,0.453,41,Running/Jogging,684,551,733,701,214,861,25,Same length,95,100,Ring finger,March,Summer,Yes,No,Rice/Noodle dishes,Water,Music,7,5,4,Yes - broadband connection,Text messaging,35,24,5,6,15,2,9,4,23,18,3,5,25,5,A lot,Graduate degree,Rock and roll,Telepathy,Happy,Friend,Health
Male,17,Right-Handed,178.5,25.1,180.3,1,Car,7,0.309,55,Other,350,450,700,650,600,625,25.2,Left foot,7,7.5,Ring finger,September,Fall,No,No,Pizza/Pasta,Water,Other,7,9,4,Yes - broadband connection,In person,18,20,18,5,7,15,7,4,2,8,8,5,0,2,Some,Some college,Rap/Hip hop,Telepathy,Rich,Relative,Health
Male,16,Right-Handed,166.3,26.4,173,2,Car,10,0.275,,Walking/Hiking,1000,1000,925,950,400,400,26.4,Same length,8.3,7.3,Index finger,February,Winter,No,No,Meat,Tea,Art,7,7,4,Yes - other,"Myspace, Facebook, other social networking sites, or blog",50,25,7,3,9,10,5,12,9,6,10,11,0,7,A lot,Some college,Other,Fly,Rich,Relative,"Wildlife, animals"
Female,16,Right-Handed,169,25,176,1,Car,15,0.291,41,Baseball/Softball,1000,750,700,900,100,700,26,Left foot,87,93,Ring finger,December,Winter,Yes,No,Rice/Noodle dishes,Water,Social studies,6,9,5,Yes - other,Internet chat or instant messaging,25,31,14,12,7,21,7,7,15,7,21,0,35,6,Very little,Graduate degree,Punk rock,Telepathy,Healthy,Doctor or nurse,Health
Male,17,Right-Handed,175,27,185,4,Car,7,0.279,40,Basketball,1k,652,900,951,300,700,28,Right foot,8,8.5,Index finger,September,Summer,No,No,Pizza/Pasta,Water,Physical education,8,12,9,Yes - broadband connection,Internet chat or instant messaging,40,60,10,8,7,5,10,3,14,10,20,0,0,4,Some,Graduate degree,Other,Fly,Happy,Musician or singer,Religious
Male,17,Right-Handed,179,25,178,1,Car,10,0.324,41,Other,1000,759,925,914,684,690,24.5,Same length,80,75,Ring finger,February,Winter,No,No,Meat,Water,English,8,11,4,Yes - broadband connection,"Myspace, Facebook, other social networking sites, or blog",11,18,35,14,8,2,10,4,4,1,7,2,0,2,Some,Other,Rhythm and blues (R&B),Freeze time,Happy,Other,International aid
